X2 X3 X4 X5 Y
9.0000000e+00 3.5710000e+00 1.9760000e+00 5.2500000e+01 5.4100000e+02
9.0000000e+00 4.0920000e+00 1.2500000e+00 5.7200000e+01 5.2400000e+02
9.0000000e+00 3.8650000e+00 1.5860000e+00 5.8000000e+01 5.6100000e+02
7.5000000e+00 4.8700000e+00 2.3510000e+00 5.2900000e+01 4.1400000e+02
8.0000000e+00 4.3990000e+00 4.3100000e-01 5.4400000e+01 4.1000000e+02
1.0000000e+01 5.3420000e+00 1.3330000e+00 5.7100000e+01 4.5700000e+02
8.0000000e+00 5.3190000e+00 1.1868000e+01 4.5100000e+01 3.4400000e+02
8.0000000e+00 5.1260000e+00 2.1380000e+00 5.5300000e+01 4.6700000e+02
8.0000000e+00 4.4470000e+00 8.5770000e+00 5.2900000e+01 4.6400000e+02
7.0000000e+00 4.5120000e+00 8.5070000e+00 5.5200000e+01 4.9800000e+02
8.0000000e+00 4.3910000e+00 5.9390000e+00 5.3000000e+01 5.8000000e+02
7.5000000e+00 5.1260000e+00 1.4186000e+01 5.2500000e+01 4.7100000e+02
7.0000000e+00 4.8170000e+00 6.9300000e+00 5.7400000e+01 5.2500000e+02
7.0000000e+00 4.2070000e+00 6.5800000e+00 5.4500000e+01 5.0800000e+02
7.0000000e+00 4.3320000e+00 8.1590000e+00 6.0800000e+01 5.6600000e+02
7.0000000e+00 4.3180000e+00 1.0340000e+01 5.8600000e+01 6.3500000e+02
7.0000000e+00 4.2060000e+00 8.5080000e+00 5.7200000e+01 6.0300000e+02
7.0000000e+00 3.7180000e+00 4.7250000e+00 5.4000000e+01 7.1400000e+02
7.0000000e+00 4.7160000e+00 5.9150000e+00 7.2400000e+01 8.6500000e+02
8.5000000e+00 4.3410000e+00 6.0100000e+00 6.7700000e+01 6.4000000e+02
7.0000000e+00 4.5930000e+00 7.8340000e+00 6.6300000e+01 6.4900000e+02
8.0000000e+00 4.9830000e+00 6.0200000e-01 6.0200000e+01 5.4000000e+02
9.0000000e+00 4.8970000e+00 2.4490000e+00 5.1100000e+01 4.6400000e+02
9.0000000e+00 4.2580000e+00 4.6860000e+00 5.1700000e+01 5.4700000e+02
8.5000000e+00 4.5740000e+00 2.6190000e+00 5.5100000e+01 4.6000000e+02
9.0000000e+00 3.7210000e+00 4.7460000e+00 5.4400000e+01 5.6600000e+02
8.0000000e+00 3.4480000e+00 5.3990000e+00 5.4800000e+01 5.7700000e+02
7.5000000e+00 3.8460000e+00 9.0610000e+00 5.7900000e+01 6.3100000e+02
8.0000000e+00 4.1880000e+00 5.9750000e+00 5.6300000e+01 5.7400000e+02
9.0000000e+00 3.6010000e+00 4.6500000e+00 4.9300000e+01 5.3400000e+02
7.0000000e+00 3.6400000e+00 6.9050000e+00 5.1800000e+01 5.7100000e+02
7.0000000e+00 3.3330000e+00 6.5940000e+00 5.1300000e+01 5.5400000e+02
8.0000000e+00 3.0630000e+00 6.5240000e+00 5.7800000e+01 5.7700000e+02
7.5000000e+00 3.3570000e+00 4.1210000e+00 5.4700000e+01 6.2800000e+02
8.0000000e+00 3.5280000e+00 3.4950000e+00 4.8700000e+01 4.8700000e+02
6.5800000e+00 3.8020000e+00 7.8340000e+00 6.2900000e+01 6.4400000e+02
5.0000000e+00 4.0450000e+00 1.7782000e+01 5.6600000e+01 6.4000000e+02
7.0000000e+00 3.8970000e+00 6.3850000e+00 5.8600000e+01 7.0400000e+02
8.5000000e+00 3.6350000e+00 3.2740000e+00 6.6300000e+01 6.4800000e+02
7.0000000e+00 4.3450000e+00 3.9050000e+00 6.7200000e+01 9.6800000e+02
7.0000000e+00 4.4490000e+00 4.6390000e+00 6.2600000e+01 5.8700000e+02
7.0000000e+00 3.6560000e+00 3.9850000e+00 5.6300000e+01 6.9900000e+02
7.0000000e+00 4.3000000e+00 3.6350000e+00 6.0300000e+01 6.3200000e+02
7.0000000e+00 3.7450000e+00 2.6110000e+00 5.0800000e+01 5.9100000e+02
6.0000000e+00 5.2150000e+00 2.3020000e+00 6.7200000e+01 7.8200000e+02
9.0000000e+00 4.4760000e+00 3.9420000e+00 5.7100000e+01 5.1000000e+02
7.0000000e+00 4.2960000e+00 4.0830000e+00 6.2300000e+01 6.1000000e+02
7.0000000e+00 5.0020000e+00 9.7940000e+00 5.9300000e+01 5.2400000e+02
